0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:44:53 +0800] "GET /js/saiku/plugins/Intro/plugin.js?_=1545968690794 HTTP/1.1" 200 5835
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:44:53 +0800] "GET /js/saiku/plugins/Statistics/plugin.js?_=1545968690795 HTTP/1.1" 200 11676
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:44:53 +0800] "GET /saiku/rest/saiku/session?_=1545968690796 HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:44:53 +0800] "GET /images/sprite.png HTTP/1.1" 200 38319
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:44:53 +0800] "GET /css/jquery/images/ui-bg_flat_0_aaaaaa_40x100.png HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:15 +0800] "POST /saiku/rest/saiku/session HTTP/1.1" 500 43
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:23 +0800] "POST /saiku/rest/saiku/session HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:23 +0800] "GET /saiku/rest/saiku/session?_=1545968690797 HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:23 +0800] "GET /js/saiku/plugins/I18n/po/cn.json HTTP/1.1" 200 3492
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:23 +0800] "GET /saiku/rest/saiku/api/license?_=1545968690798 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:23 +0800] "GET /saiku/rest/saiku/api/license/quota?_=1545968690800 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:30 +0800] "GET /saiku/rest/saiku/admin/discover?_=1545968690799 HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:30 +0800] "GET /images/src/admin.png HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:31 +0800] "GET /saiku/rest/saiku/admin/discover/ny/nanyan/nanyan/dianjian/metadata?key=ny%2Fnanyan%2Fnanyan%2Fdianjian&_=1545968690801 HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:35 +0800] "GET /images/src/table2.png HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:35 +0800] "GET /js/saiku/plugins/CCC_Chart/chart.png HTTP/1.1" 200 3215
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:35 +0800] "GET /images/chart/gray/trendbars.png HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:35 +0800] "GET /images/chart/gray/trendline.png HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:35 +0800] "GET /images/src/page_white.png HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [28/Dec/2018:11:45:35 +0800] "GET /images/src/pencil.png HTTP/1.1" 200 450
